Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Tanacetum vulgare,30-Jul,22-Jul, ,10-Aug,30-Jul,13-Jul, , ,24-Jul, ,25-Jul, ,6-Aug,4-Aug,22-Aug,13-Aug,14-Jul, , , ,24-Jul, ,16-Jul,4-Aug,27-Jul,24-Jul,31-Jul,30-Jul,13-Jul, ,30-Jul,27-Jul, , , ,2-Aug,, ,26-Jul,21-Jul, , , ,19-Jul,12-Aug, , ,,,,,,,,,,,,,,,
Taraxacum sect. Erythrosperma,11-Apr,1-Apr,19-Apr, ,18-Apr,21-Apr,16-Apr,30-Apr,29-Apr,4-May,5-Apr, , ,27-Mar,27-Apr, ,18-Apr,12-Apr,2-Apr,1-Apr,14-Apr, ,23-Apr, , ,4-May,9-May, ,12-Apr,29-Apr,28-Apr, ,5-May,4-May, ,31-Mar,, ,21-Apr,15-Apr,16-Apr, , ,10-Apr, , , ,,,,,,,,,,,,,,,
Taxus baccata,5-Mar,2-Mar,9-Mar,3-Feb,16-Feb,22-Feb,22-Feb,20-Feb,19-Feb,27-Mar,26-Feb,24-Feb,26-Feb,24-Feb, ,14-Mar,6-Mar,22-Feb,28-Feb,27-Feb,29-Feb,19-Feb,22-Feb,28-Feb,10-Mar,1-Apr,3-Mar,12-Mar,4-Mar,5-Mar,11-Mar,10-Mar,22-Mar,13-Mar,7-Mar,22-Feb,20-Feb,12-Mar,2-Mar,8-Feb,27-Feb,4-Mar,27-Feb, ,16-Feb, ,18-Feb,,,,,,,,,,,,,,,
Thymus polytrichus, , , ,31-May, ,5-Jun, , , , , , , , ,16-Jun, ,13-Jun,30-May,15-Jun,4-Jun,4-Jun,12-Jun,12-Jun, ,11-Jun,17-Jun,15-Jun,21-Jun,5-Jun,7-Jun,12-Jun, ,14-Jun,21-Jun,21-Jun,19-Jun,21-May,17-Jun,15-Jun, ,29-May,21-Jun,15-Jun,11-May,3-Jun, , ,,,,,,,,,,,,,,,
Tilia x vulgaris, , , ,28-Jun, , , , , ,8-Jul,28-Jun,8-Jul,17-Jun,4-Jul,12-Jul,7-Jul,6-Jul,8-Jul, ,25-Jun,1-Jul, , , ,10-Jul, , ,30-Jun,2-Jul,29-Jun,13-Jul,18-Jul, , ,12-Jul, ,26-Jun,14-Jul, ,22-Jun, ,5-Jul, , ,21-Jun,29-Jun, ,,,,,,,,,,,,,,,
Torilis japonica,11-Jul,12-Jul,10-Jul, ,15-Jul,18-Jul,2-Jul,13-Jul, ,2-Jul,5-Jul,4-Jul,9-Jul,14-Jul,5-Jul, ,27-Jun,12-Jul,23-Jul,10-Jul,13-Jul,30-Jun,3-Jul,15-Jul,11-Jul,18-Jul,3-Jul,30-Jun,1-Jul,10-Jul,13-Jul,12-Jul,4-Jul, ,1-Jul,8-Jul,, ,2-Jul, ,5-Jul, ,21-Jul,2-Jul,5-Jul, , ,,,,,,,,,,,,,,,
Trachystemon orientale, , , ,23-Mar, ,7-Mar,14-Feb,18-Mar, ,14-Apr,31-Mar,10-Apr,7-Apr,11-Mar, , , , , ,28-Feb,26-Mar,11-Jan, ,8-Mar,24-Mar, , ,28-Mar,1-Apr,17-Mar, ,31-Mar,2-May,17-Apr,16-Feb,19-Jan,5-Feb,25-Mar, ,19-Feb,19-Feb,4-Mar, ,4-Mar,17-Feb, , ,,,,,,,,,,,,,,,
Tragopogon pratensis, ,2-Jun,30-May,29-Apr,23-May,28-May,22-May,20-May, ,4-Jun,7-Jun,28-May,19-May,25-May,26-May,21-May,31-May, ,27-May,27-May,10-May,20-May,15-May,20-May, ,24-May,25-May, ,15-May, ,20-May,6-Jun,31-May,18-May,11-May,18-May,2-May,24-May,21-May,22-May,25-May,12-Jun,11-May, , , , ,,,,,,,,,,,,,,,
Trifolium campestre,11-Jun,31-May,17-Jun,28-May,19-Jun,30-May, ,1-Jun, ,20-Jun,26-Jun,11-Jun,13-Jun,3-Jun,6-Jun,21-Jun,2-Jun, , ,11-Jun, ,13-Jun,12-Jun,3-Jun,7-Jun,24-Jun,1-Jun,16-Jun,28-May, ,24-Jun,4-Jun,3-Jul,9-Jun,28-May, ,13-May, ,2-Jun,13-Jun,18-Jun,15-Jun, ,7-Jun,21-Jun, , ,,,,,,,,,,,,,,,
Trifolium dubium,8-May,20-Apr,16-May,1-May,4-May, , , , , ,18-May,24-May,19-May,10-May, , ,31-May, ,25-May,27-May, , ,17-May,25-May,23-May, ,22-May,12-May,18-May,20-May,19-May,19-May, ,20-May,11-May,15-Apr,9-May,24-May,21-May,24-Apr,15-May,4-May,26-May,13-May, ,17-May,17-May,,,,,,,,,,,,,,,
Trifolium medium,2-Jul,7-Jul,29-Jun,29-Jun,10-Jul,27-Jun,28-Jun,11-Jul,30-Jun,7-Jul,15-Jun,9-Jul,19-May,29-Jun,1-Jun,1-Jul,1-Jul,6-Jul,4-Jul, ,8-Jul,14-Jun,17-Jun,8-Jul,9-Jul,5-Jul,18-Jun,16-Jun,20-Jun,6-Jul,30-Jun,2-Jul,7-Jul,4-Jul,5-Jun,8-Jul,26-Jun,11-Jul,3-Jun, , , , ,21-Jun,14-Jul, , ,,,,,,,,,,,,,,,
Trifolium pratense,16-May,14-May,16-May,18-Apr, , ,12-May, ,25-May,20-May,18-May,27-Apr,15-May,9-May,16-May,16-May,16-May,12-May, ,28-Apr,15-May,19-May,15-May,24-May, ,25-May,17-May,16-May,16-May,25-May,17-May, , ,8-May, , , ,20-May,16-May, , ,4-May, , ,17-May, ,10-May,,,,,,,,,,,,,,,
Trifolium repens, ,24-May,30-May,19-May,20-May,23-May,30-May,20-Apr,31-May,3-Jun,22-May,25-May,19-May,28-Apr,24-May,27-May,28-May,15-May,4-May,21-May,22-May,23-May,9-May,26-Apr,29-May,29-May,13-May,11-May,18-May,17-May,4-Jun,22-May,21-May,28-May,28-May,18-May,18-May, ,20-May, ,10-May,23-May, ,12-May,22-May, ,13-May,,,,,,,,,,,,,,,
Tripleurospernum inodorum, , ,25-May,12-Apr,12-May, , , , , ,7-Jun,28-May, ,8-Apr,7-Jun,26-May,22-May, , ,14-May,3-Jun,24-May, , , ,8-Jun,17-May,19-Apr,2-May, ,8-May,26-May, ,12-Apr, , ,, , , , , ,14-Jun,2-Jun,4-Jun, ,26-May,,,,,,,,,,,,,,,
Trisetum flavescens    ,15-Jun,18-Jun,12-Jun,12-Jun,14-Jun,5-Jun,5-Jun,12-Jun, ,14-Jun,8-Jun, ,9-Jun,5-Jun,8-Jun,14-Jun,8-Jun, ,21-Jun,11-Jun, ,11-Jun,13-Jun,10-Jun,4-Jun,10-Jun,12-Jun,27-May,4-Jun,6-Jun,8-Jun,7-Jun,3-Jun,3-Jun,7-Jun,27-May,9-Jun,12-Jun,4-Jun,5-Jun,10-Jun,21-Jun,13-Jun,15-Jun,22-Jun, ,12-Jun,,,,,,,,,,,,,,,
Tussilago farfara      ,24-Feb,6-Mar,6-Mar,2-Feb,8-Feb,18-Feb,5-Feb,18-Jan,2-Feb,9-Mar,5-Feb,28-Jan,25-Feb,24-Feb, ,7-Mar,18-Mar,15-Feb,25-Feb,27-Feb,28-Feb,6-Jan,29-Feb,25-Feb,4-Mar,30-Mar,28-Feb,24-Jan,28-Feb,23-Feb,11-Mar,7-Mar,18-Mar,29-Feb,3-Mar,5-Feb,17-Feb,2-Mar, ,21-Feb,3-Mar,10-Mar,28-Mar,9-Mar,19-Feb,1-Mar,14-Mar,,,,,,,,,,,,,,,
Typha latifolia,20-Jul,20-Jul,18-Jul,9-Jul,10-Jul, ,2-Jul, ,3-Jul,3-Jul,4-Jul,8-Jul,11-Jul, ,20-Jul, , ,21-Jul, , ,13-Jul, , , ,19-Jul,29-Jul,15-Jul, ,20-Jul,6-Jul,25-Jun, , ,15-Jul,14-Jul,30-Jun,, ,7-Jun,29-Jun, ,13-Jul,5-Jul,4-Jul, , , ,,,,,,,,,,,,,,,
Ulmus glabra,16-Mar, ,25-Mar,26-Feb,17-Mar,8-Mar,21-Mar,27-Feb,31-Mar,10-Apr,31-Mar,26-Mar,22-Mar,23-Feb, , ,24-Mar,21-Mar,27-Mar,8-Mar,28-Feb,14-Mar,28-Feb, , ,15-Apr,15-Mar,13-Mar,2-Apr,19-Mar,7-Apr, ,25-Apr,4-Apr,18-Mar,6-Mar,,19-Mar, ,17-Mar,17-Mar,26-Mar,16-Apr,22-Mar, , ,17-Mar,,,,,,,,,,,,,,,
Urtica dioica,9-Jun,2-Jun,14-Jun,25-May,15-Jun,21-May,22-May,27-May, ,29-May,26-May,3-Jun,3-Jun,26-May,4-Jun,13-Jun, ,26-May, ,3-Jun,2-Jun,29-May, ,30-May,29-May,30-May,30-May,23-May,15-May,6-Jun,25-May,6-Jun,7-Jun,31-May,6-Jun,30-May,13-May,12-Jun,23-May,22-May,10-May, ,1-Jun,21-May,23-May,17-May,25-May,,,,,,,,,,,,,,,
Valerianella dentata, , ,10-Jul, , ,26-Jul,2-Jul, , ,24-Jul,7-Jul,19-Jul,17-Jun, , ,26-Jul, , ,19-Jul, , , ,1-Jul, ,24-Jun,9-Jul,24-Jul,15-Jul, , ,25-Jul,15-Jul,1-Jul, ,30-Jun,10-Jul,19-Jun,27-Jul,12-Jul,11-Jul,24-Jul, ,21-Jul, , , , ,,,,,,,,,,,,,,,
Valerianella locusta, ,10-May,21-Apr,12-Apr, , , ,16-Apr, ,9-May, , , ,10-May, , , ,25-Apr,28-Apr,21-Apr,4-May, ,30-Apr, , ,19-May, ,20-Apr, ,12-May,2-May,11-May,13-May, ,25-Apr,14-Apr,30-Apr,28-Apr, ,8-Apr,22-Apr, ,7-May, ,29-Apr,7-Apr,22-Apr,,,,,,,,,,,,,,,
Verbascum nigrum,28-Jun, ,1-Jul,18-Jun,1-Jul,21-Jun,5-Jul, ,30-Jun,16-Jun,3-Jul,3-Jul,8-Jul,29-Jun,23-Jun, ,27-Jun,6-Jul, , ,23-Jun, ,14-Jun, ,4-Jul,21-Jun,18-Jun,17-Jun,7-Jun,29-Jun,25-Jun,9-Jul,9-Jul, , ,22-Jun,, ,23-Jun,13-Jun,4-Jul,27-Jun,1-Jul,1-Jun,24-Jun, ,20-Jun,,,,,,,,,,,,,,,
Verbascum thapsus, ,29-Jun,4-Jul, , ,19-Jun, ,16-Jul, ,30-Jun,3-Jul, , ,16-Jul,6-Jul, , ,6-Jul,11-Jul,30-Jun,4-Jun,5-Jul,18-Jun, ,8-Jul,11-Jul,11-Jul,9-Jul,17-Jun,9-Jul,16-Jul, ,4-Jul,24-Jun,6-Jul,22-Jun,, , ,19-Jun,27-Jun, ,3-Jul, ,30-Jun, ,2-Jun,,,,,,,,,,,,,,,
Veronica arvensis,15-Apr,5-May,12-May,27-Mar,2-May,7-Apr,5-May,15-Apr,6-May, ,24-Apr,15-Apr, ,4-Apr,25-Apr, ,3-May,25-Apr, ,20-Apr,4-May, , ,3-Apr, , , ,6-May,17-Apr,5-May, , , ,4-May,23-Apr, ,13-Apr,28-Apr,3-May, ,29-Apr,8-May,5-May,4-May,29-Apr,11-Apr,20-Apr,,,,,,,,,,,,,,,
Veronica beccabunga,12-Jun, ,23-May, , ,18-May,6-Jun,23-May,6-Jun,16-Jun, ,29-May,13-Jun,10-Jun,31-May,22-Jun, ,5-Jun, ,29-May,4-Jun, , ,3-Jun,8-Jun,17-Jun,16-May, ,26-May,25-May, ,1-Jun,8-Jun,24-May,15-May,20-May,12-May,9-Jun,19-May,27-May,23-May,28-May,14-Jun,23-May, ,22-May,13-Jun,,,,,,,,,,,,,,,
Veronica chamaedrys,7-May,7-May,9-May,29-Mar,3-May,19-Apr,3-May,1-Apr,6-May,12-May,10-May,24-Apr,6-May,14-Apr,27-Apr,11-Apr,8-May,8-May,30-Apr,27-Apr,13-Apr,19-Apr,29-Apr,6-Apr, ,18-May,10-May,1-May,10-Apr,6-May,8-May,12-May,21-May,4-May,20-Apr,28-Apr, ,6-May,3-May, ,27-Apr,30-Apr,12-May, , ,22-Apr,1-May,,,,,,,,,,,,,,,
Veronica filiformis, , , ,16-Mar, ,10-Apr, , ,9-Apr, , ,3-Apr,7-Apr,21-Mar,12-Apr, ,1-Apr,8-Apr,1-Apr,26-Mar,13-Mar,14-Mar,21-Mar, , , ,4-Apr,28-Mar,2-Apr, , ,12-Apr, ,11-Apr,26-Mar,20-Mar,18-Feb,30-Mar,21-Mar,14-Mar,13-Mar, ,25-Apr,29-Mar, ,2-Apr,14-Mar,,,,,,,,,,,,,,,
Veronica hederifolia,9-Mar,25-Mar,11-Mar,9-Feb,15-Feb,8-Mar,20-Mar,3-Mar,29-Mar,21-Apr,13-Apr,2-Apr,23-Mar,23-Mar,14-Apr,10-Apr,17-Apr,13-Mar,23-Mar,16-Mar,15-Mar,1-Mar,20-Mar,15-Mar,17-Mar,26-Apr,23-Mar,4-Mar,12-Mar,12-Mar,11-Mar,14-Mar,31-Mar,14-Mar,29-Feb,5-Mar,29-Feb,8-Mar,2-Mar,14-Mar,21-Mar,6-Mar, ,15-Feb,24-Jan, , ,,,,,,,,,,,,,,,
Veronica montana,10-May,10-May,17-May,22-Apr,10-May, ,30-Apr, , , ,10-May,8-May,15-May,30-Apr,5-May,15-May, ,8-May,7-May, ,27-Apr, ,8-May,15-May, , ,10-May, ,16-May,14-May, ,17-May, ,9-May,6-May,21-Apr,17-Apr,9-May,30-Apr,24-Apr,28-Apr,30-Apr,27-May,8-Apr,5-May,28-Apr,15-May,,,,,,,,,,,,,,,
Veronica officinalis,12-Jun,12-Jun,19-May,19-May, , , ,24-May, , , ,7-Jun,1-Jun, ,2-Jun,8-Jun,15-Jun, , ,9-Jun,27-May,10-Jun,13-Jun,12-Jun,11-Jun, ,9-Jun,9-Jun, , , , , ,21-Jun,29-May,4-Jun,13-May,27-May,2-Jun,6-Jun,7-Jun, ,16-Jun,25-May,29-May, ,4-Jun,,,,,,,,,,,,,,,
Veronica serpyllifolia,30-Apr,20-Mar,4-May,20-Apr,26-Apr,21-Apr,22-Apr,31-Mar,9-May,6-May,9-May,24-Apr,7-May,2-May,26-Apr,2-May,15-May,1-May,17-Apr,27-Apr,26-Apr, ,8-May, , ,11-May,10-May,15-May,10-Apr,24-Apr,18-May,8-May,23-May,11-May,11-May,28-Apr,27-Mar,11-May, , ,1-May,6-May,28-May, ,7-May,29-Apr,12-May,,,,,,,,,,,,,,,
Viburnum lantana,8-May,8-May,9-May,15-Apr,3-May,25-Apr,1-May,16-Apr,9-May,8-May,10-May,8-May,8-May,21-Apr,3-May,11-May,8-May,4-May,5-May,3-May,11-Apr,19-Apr,29-Apr,7-May,9-May,13-May,9-May,24-Apr,23-Apr,4-May,8-May,6-May,18-May,4-May,12-Apr,9-Apr,31-Mar,4-May,28-Apr,25-Apr,24-Apr,16-Apr,13-May,9-Apr,20-Apr,23-Apr,8-May,,,,,,,,,,,,,,,
Viburnum opulus,5-Jun,5-Jun,6-Jun,5-Jun,5-Jun,4-May,5-May,4-May, ,5-Jun,5-May,5-Jun,5-Jun,5-Jun,6-Jun,5-Jun,5-Jun, ,6-Jun,5-Jun,5-Jun,5-Jun,6-Jun,5-Jun,5-Jun,5-Jun,6-Jun,5-Jun,5-Jun,5-Jun,6-Jun,5-Jun, ,5-Jun,6-Jun,5-Jun,4-May, ,6-Jun,6-Jun,7-Jun,11-Jun,12-Jun,22-May,23-May,16-May,4-Jun,,,,,,,,,,,,,,,
Vicia cracca,15-Jun,18-Jun,19-Jun,20-Jun,21-Jun,16-Jun,4-Jun,8-Jun, ,9-Jun,14-Jun, , ,18-Jun,16-Jun,19-Jun,10-Jun, , ,23-Jun,29-Jun,14-Jun,21-Jun, ,30-Jun,27-Jun,15-Jun,19-Jun, ,1-Jul,21-Jun,17-Jun,17-Jun,27-Jun,1-Jul,11-Jun,25-Jun, , , , , ,24-Jun,2-Jun,21-Jun, ,27-Jun,,,,,,,,,,,,,,,
Vicia sepium,27-Apr,7-May,9-May,19-Apr,4-May,1-May,8-May,16-Apr,6-May,12-May,13-May,11-May,8-May,6-May,12-May,12-May,11-May,7-May,17-May,10-May,13-Apr,13-May,17-Apr,23-May,22-May,16-May,11-May,9-May,6-May,7-May,29-Apr,17-May,15-May,8-May,6-May,6-May,19-Apr,18-May, ,24-Apr,28-Apr,17-Apr, ,16-Apr,8-May,21-May,16-Apr,,,,,,,,,,,,,,,
Vinca minor, ,11-Mar, ,9-Feb,28-Feb,18-Mar,8-Mar,4-Mar,27-Mar, , , , ,11-Mar, , , ,15-Mar,16-Mar,14-Mar, ,11-Jan,26-Mar,8-Mar,29-Jan,13-Apr, ,14-Mar,27-Feb,3-Apr,11-Mar,2-Mar,23-Mar, ,15-Feb, , ,22-Feb,4-Mar,29-Jan,20-Jan,26-Jan,25-Mar, ,22-Jan, , ,,,,,,,,,,,,,,,
Viola arvensis,5-May,24-Apr,6-May,24-Apr,27-Apr, ,9-May,20-May,28-May,15-Apr, , ,15-May, ,23-Apr, ,3-May,3-May, , , , , ,11-May, ,10-Jun,26-May,20-Apr, , , ,14-Apr,15-Jun,24-May, , ,, , ,17-Apr,27-Feb,14-Apr, , , ,21-May, ,,,,,,,,,,,,,,,
Viola hirta,30-Mar,31-Mar,29-Mar,13-Mar,7-Mar,22-Mar,25-Mar,8-Mar,9-Apr,10-Apr,17-Apr,1-Apr,15-Mar,21-Mar, ,6-Apr,17-Apr,27-Mar,23-Mar,24-Mar,1-Mar,29-Jan,14-Mar,18-Mar,3-Apr,14-Apr,30-Mar,27-Mar,27-Mar,30-Mar,7-Apr,29-Mar,11-Apr,4-Apr,27-Mar,23-Mar,3-Mar,23-Mar,25-Mar,19-Mar,15-Mar,18-Mar,18-Apr,21-Mar,6-Mar,6-Apr,18-Mar,,,,,,,,,,,,,,,
Viola odorata,22-Mar,19-Mar,11-Mar,24-Feb,9-Feb,8-Mar,14-Feb,8-Mar,26-Mar,21-Mar,30-Mar,25-Mar,6-Mar,4-Mar, ,2-Apr,18-Mar,23-Mar,18-Mar,7-Mar,28-Feb,29-Jan,5-Mar,15-Mar,17-Mar,13-Apr,9-Mar,5-Mar,6-Mar,30-Jan,22-Mar,29-Mar,31-Mar,29-Mar,27-Feb,5-Feb,17-Feb,18-Mar,7-Mar,26-Feb,20-Feb,2-Feb,1-Mar,27-Feb,14-Feb,3-Feb,11-Feb,,,,,,,,,,,,,,,
Viola reichenbachiana,4-Apr, , ,11-Mar,15-Apr,27-Mar,28-Mar,6-Mar,15-Apr,22-Apr,14-Apr,2-Apr,22-Mar,13-Mar, ,14-Apr,26-Apr,13-Apr,27-Mar,26-Mar,8-Mar,15-Jan,30-Mar,19-Mar,24-Mar,29-Apr,16-Mar,29-Mar,27-Mar,19-Mar,19-Apr,13-Apr,26-Apr,14-Apr,13-Mar,5-Mar,4-Mar,25-Mar,22-Mar,17-Mar,15-Mar,28-Mar,21-Apr,17-Mar,9-Mar,28-Mar,18-Mar,,,,,,,,,,,,,,,
Viola riviniana,12-Apr,11-Apr,16-Apr,21-Mar,16-Mar,8-Apr,12-Apr,18-Mar,24-Apr,19-Apr,17-Apr,15-Apr,6-Apr,30-Mar,10-Apr,10-Apr,24-Apr,5-Apr,3-Apr,5-Apr,3-Apr,25-Mar,7-Apr,30-Mar,15-Apr,25-Apr,13-Apr,15-Apr,8-Apr,24-Apr,22-Apr,2-Apr,25-Apr,17-Apr,2-Apr,23-Mar,17-Mar,8-Apr,26-Mar,4-Apr,5-Apr,4-Apr,23-Apr,29-Mar, ,31-Mar, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
